price,sqft,bedroom,bathroom,balcony,age,flooring,furnishing,facing,parking,gated_security,amenities,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor,price/sqft
9900000,1340,2,2,2,3,1,2,1,1,1,6,Bellandur,1,0,0,0,1,0,1,1,0,1,1,0,0,0,7388.059701
8100000,1170,2,2,3,3,0,3,1,2,1,3,Bellandur,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6923.076923
7500000,1136,2,2,2,4,1,2,2,1,1,8,Bellandur,1,1,1,0,1,0,1,1,0,1,0,0,0,1,6602.112676
20000000,1959,3,3,2,2,0,3,2,1,1,11,Bellandur,1,1,1,0,1,1,0,1,1,1,1,0,1,1,10209.29045
16000000,1212,3,2,2,0,1,1,2,2,1,8,Bellandur,1,1,1,0,1,0,0,1,0,1,0,0,1,1,13201.32013
11600000,1433,2,2,2,0,1,1,4,2,1,14,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8094.905792
15500000,1433,3,3,3,0,1,1,4,2,1,14,Bellandur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10816.46895
12500000,1680,3,3,2,4,3,2,3,1,1,6,Beninganahalli,1,0,0,0,0,1,1,1,0,1,0,0,0,1,7440.47619
6000000,928,2,2,0,4,1,2,1,2,0,5,Beninganahalli,1,0,1,0,0,0,1,1,0,0,0,0,0,1,6465.517241
7550000,1090,2,2,2,4,1,3,1,2,1,4,Beninganahalli,1,0,0,0,0,0,1,1,0,1,0,0,0,0,6926.605505
6500000,1053,2,2,2,4,1,2,1,2,0,3,Beninganahalli,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6172.839506
15000000,1300,2,2,2,1,3,3,1,2,1,0,Beninganahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11538.46154
7500000,1176,2,2,0,3,0,2,1,2,0,0,Beninganahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6377.55102
7000000,1190,2,2,0,3,0,3,1,2,1,4,Beninganahalli,1,0,0,0,0,0,0,0,1,1,0,0,0,1,5882.352941
5800000,985,2,2,2,4,1,2,3,2,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5888.324873
8500000,1040,2,2,2,4,1,3,4,1,1,9,Beninganahalli,1,0,1,0,0,1,1,1,1,1,1,0,0,1,8173.076923
9300000,2150,3,3,0,4,0,1,4,2,0,0,Beninganahalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4325.581395
17500000,2100,3,3,3,3,0,3,2,2,1,8,Beninganahalli,0,1,1,0,1,1,0,1,0,1,0,0,1,1,8333.333333
5300000,660,1,1,1,4,2,2,4,0,1,4,Beninganahalli,1,0,1,0,0,0,0,0,1,1,0,0,0,0,8030.30303
10000000,1500,3,2,2,4,1,2,4,1,0,7,Beninganahalli,1,0,1,0,0,1,1,1,0,1,0,0,0,1,6666.666667
8500000,1050,2,2,1,4,1,2,2,2,1,11,Beninganahalli,1,1,1,0,1,1,1,1,0,1,1,1,0,1,8095.238095
6000000,1180,3,2,2,4,3,2,2,2,1,2,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5084.745763
8500000,1200,2,1,1,1,0,3,1,2,1,9,Beninganahalli,1,0,0,0,1,1,1,1,1,1,0,1,0,1,7083.333333
7000000,1185,2,2,0,4,0,2,7,2,1,4,Beninganahalli,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5907.172996
6500000,1149,2,2,3,4,0,2,3,2,1,2,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5657.093124
6500000,1140,2,2,0,4,0,2,3,2,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5701.754386
9700000,1600,3,3,4,4,1,2,1,2,1,12,Beninganahalli,1,1,0,0,1,1,1,1,1,1,1,1,1,1,6062.5
7000000,1300,3,3,2,2,1,3,4,1,1,3,Beninganahalli,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5384.615385
15500000,1542,3,2,3,4,3,2,7,2,1,7,Beninganahalli,1,0,0,0,1,1,0,1,1,1,1,0,0,0,10051.88067
12000000,1500,3,3,2,4,1,2,4,1,1,2,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8000
5800000,598,1,2,1,1,2,2,5,2,1,12,Beninganahalli,1,1,1,1,1,1,0,1,1,1,1,0,1,1,9698.996656
9500000,1690,3,3,0,3,0,1,8,2,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5621.301775
7500000,1080,2,2,1,5,1,1,1,1,1,6,Beninganahalli,0,0,1,1,0,0,1,1,0,1,0,0,0,1,6944.444444
7400000,1190,2,2,2,4,3,3,2,2,1,3,Beninganahalli,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6218.487395
6800000,1150,2,2,1,5,1,1,2,2,1,5,Beninganahalli,0,0,0,0,0,1,1,1,0,1,1,0,0,0,5913.043478
6000000,1080,2,2,0,4,0,2,2,2,0,2,Beninganahalli,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5555.555556
4100000,950,2,2,1,3,1,2,1,2,1,4,Beninganahalli,1,0,0,0,0,0,1,1,0,1,0,0,0,0,4315.789474
10000000,3200,4,8,3,1,1,2,6,0,0,2,Beninganahalli,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3125
9400000,976,2,2,1,5,1,3,3,2,1,4,Beninganahalli,0,0,1,0,0,0,0,1,0,1,0,0,0,1,9631.147541
4000000,1026,2,2,1,4,1,2,3,2,1,2,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3898.635478
8500000,1210,2,2,2,4,3,3,3,2,1,5,Beninganahalli,0,0,1,0,0,0,1,1,0,1,0,0,0,1,7024.793388
7000000,1100,2,2,0,3,0,2,1,2,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6363.636364
13000000,1359,2,2,2,4,1,2,1,2,1,11,Beninganahalli,1,1,1,1,1,0,1,1,1,1,1,0,1,0,9565.857248
4500000,1025,2,2,1,3,1,3,3,1,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4390.243902
7200000,1230,2,2,3,3,1,2,2,2,1,4,Beninganahalli,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5853.658537
6000000,1080,2,2,0,4,0,2,2,2,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5555.555556
7000000,1150,2,2,0,5,0,2,1,2,1,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6086.956522
9500000,1645,3,3,1,4,0,3,5,2,1,2,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5775.075988
24000000,2615,4,4,3,3,3,2,3,2,1,4,Benson Town,0,0,1,0,0,0,0,1,0,1,0,0,0,1,9177.820268
6200000,1010,2,2,1,4,1,2,2,2,0,3,Benson Town,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6138.613861
13000000,1700,4,3,0,3,0,2,3,2,0,0,Benson Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7647.058824
90000000,4995,4,5,0,4,0,2,5,2,1,2,Benson Town,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18018.01802
20000000,2650,3,3,1,4,3,2,1,1,1,2,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7547.169811
72000000,4292,4,5,0,4,0,2,1,2,1,6,Benson Town,0,1,0,0,1,0,0,1,1,0,0,0,1,1,16775.39609
15000000,2000,4,4,2,3,0,3,0,2,0,2,Benson Town,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7500
8000000,1200,2,2,3,4,3,2,3,2,1,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6666.666667
8500000,1300,3,2,1,4,3,2,2,2,1,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6538.461538
20000000,2400,4,3,2,4,3,3,3,2,1,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8333.333333
8500000,1175,2,2,1,4,1,2,5,1,1,2,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7234.042553
5000000,930,2,2,2,4,1,2,2,2,1,5,Benson Town,0,0,0,0,0,0,1,1,0,1,1,0,0,1,5376.344086
30000000,2615,4,4,3,3,3,2,3,2,1,2,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11472.27533
9900000,1280,3,3,5,5,1,2,5,1,0,3,Benson Town,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7734.375
50000000,3500,3,4,2,4,3,3,5,2,1,12,Benson Town,1,1,1,0,1,1,0,1,1,1,1,1,1,1,14285.71429
8200000,1350,3,3,1,0,1,2,4,1,0,4,Benson Town,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6074.074074
11000000,2600,4,4,4,4,0,2,1,3,0,0,Benson Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4230.769231
9000000,1175,2,2,1,4,0,2,5,1,1,3,Benson Town,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7659.574468
45000000,3000,3,5,0,4,0,2,2,2,1,2,Benson Town,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15000
6200000,900,2,2,0,3,0,1,2,2,1,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6888.888889
8500000,1200,3,2,0,4,0,2,0,2,1,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7083.333333
4600000,750,2,2,2,1,1,2,0,0,1,4,Benson Town,0,1,0,0,0,0,0,1,0,1,0,0,0,1,6133.333333
70000000,4400,4,5,4,4,3,3,4,1,0,12,Benson Town,1,1,1,0,1,1,1,1,1,0,1,1,1,1,15909.09091
20000000,3500,3,3,0,4,0,2,2,2,1,1,Benson Town,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5714.285714
5200000,1225,2,2,2,4,1,2,1,2,1,12,Bommanahalli,1,1,1,0,1,1,1,1,1,1,1,0,1,1,4244.897959
7800000,1126,2,2,2,3,5,2,3,1,1,5,Bommanahalli,0,0,0,0,1,0,1,1,0,1,0,0,0,1,6927.175844
